,LOSS (%),group,E,Cap,group
0,25.120995,1,0.06,0.12,1
1,24.051367,2,0.12,0.12,2
2,22.194147,3,0.24,0.12,3
3,20.730316,4,0.36,0.12,4
4,19.663515,5,0.48,0.12,5
5,28.49921,6,0.415,0.83,6
6,25.918804,7,0.83,0.83,7
7,20.718874,8,1.66,0.83,8
8,18.652592,9,2.4899999999999998,0.83,9
9,17.808756,10,3.32,0.83,10
10,27.97936,11,0.77,1.54,11
11,25.494133,12,1.54,1.54,12
12,20.461412,13,3.08,1.54,13
13,18.405762,14,4.62,1.54,14
14,17.515234,15,6.16,1.54,15
15,25.968729,16,1.12,2.24,16
16,24.033434,17,2.24,2.24,17
17,20.216808,18,4.48,2.24,18
18,17.940409,19,6.720000000000001,2.24,19
19,16.909811,20,8.96,2.24,20
20,26.824192,21,1.475,2.95,21
21,25.063011,22,2.95,2.95,22
22,20.90071,23,5.9,2.95,23
23,18.241793,24,8.850000000000001,2.95,24
24,17.244333,25,11.8,2.95,25
25,27.918287,26,1.825,3.65,26
26,25.666033,27,3.65,3.65,27
27,20.928097,28,7.3,3.65,28
28,18.580294,29,10.95,3.65,29
29,17.777388,30,14.6,3.65,30
30,27.935133,31,2.18,4.36,31
31,24.386438,32,4.36,4.36,32
32,20.273623,33,8.72,4.36,33
33,18.505373,34,13.080000000000002,4.36,34
34,17.398947,35,17.44,4.36,35
35,27.138405,36,2.53,5.06,36
36,22.993921,37,5.06,5.06,37
37,20.023321,38,10.12,5.06,38
38,18.47252,39,15.18,5.06,39
39,16.86147,40,20.24,5.06,40
40,26.174223,41,2.885,5.77,41
41,22.006481,42,5.77,5.77,42
42,19.86976,43,11.54,5.77,43
43,18.45028,44,17.31,5.77,44
44,16.714218,45,23.08,5.77,45
45,25.471586,46,3.235,6.47,46
46,21.722017,47,6.47,6.47,47
47,19.88301,48,12.94,6.47,48
48,18.520634,49,19.41,6.47,49
49,16.914549,50,25.88,6.47,50
50,25.093784,51,3.59,7.18,51
51,21.680443,52,7.18,7.18,52
52,19.899021,53,14.36,7.18,53
53,18.535902,54,21.54,7.18,54
54,17.207218,55,28.72,7.18,55
55,24.956326,56,3.94,7.88,56
56,21.690067,57,7.88,7.88,57
57,19.896645,58,15.76,7.88,58
58,18.525091,59,23.64,7.88,59
59,17.43421,60,31.52,7.88,60
60,24.920992,61,4.295,8.59,61
61,21.609674,62,8.59,8.59,62
62,19.828472,63,17.18,8.59,63
63,18.486168,64,25.77,8.59,64
64,17.572866,65,34.36,8.59,65
65,24.909632,66,4.645,9.29,66
66,21.433266,67,9.29,9.29,67
67,19.691547,68,18.58,9.29,68
68,18.415827,69,27.869999999999997,9.29,69
69,17.731821,70,37.16,9.29,70
70,24.914476,71,5.0,10.0,71
71,21.207722,72,10.0,10.0,72
72,19.489885,73,20.0,10.0,73
73,18.288692,74,30.0,10.0,74
74,17.906317,75,40.0,10.0,75
