,LOSS (%),group,E,Cap,group
0,25.120995,1,0.06,0.12,1
1,24.051369,2,0.12,0.12,2
2,22.194149,3,0.24,0.12,3
3,20.730314,4,0.36,0.12,4
4,19.663515,5,0.48,0.12,5
5,27.903744,6,2.2,4.4,6
6,24.302242,7,4.4,4.4,7
7,20.248457,8,8.8,4.4,8
8,18.497393,9,13.200000000000001,4.4,9
9,17.364223,10,17.6,4.4,10
10,24.919521,11,4.34,8.68,11
11,21.591892,12,8.68,8.68,12
12,19.814417,13,17.36,8.68,13
13,18.48002,14,26.04,8.68,14
14,17.591614,15,34.72,8.68,15
15,25.29843,16,6.48,12.96,16
16,20.20576,17,12.96,12.96,17
17,18.722273,18,25.92,12.96,18
18,17.952557,19,38.88,12.96,19
19,18.453468,20,51.84,12.96,20
20,25.369308,21,8.615,17.23,21
21,19.0583,22,17.23,17.23,22
22,18.011599,23,34.46,17.23,23
23,17.989437,24,51.69,17.23,24
24,19.73461,25,68.92,17.23,25
25,25.09305,26,10.755,21.51,26
26,18.1773,27,21.51,21.51,27
27,17.916584,28,43.02,21.51,28
28,18.370195,29,64.53,21.51,29
29,21.378704,30,86.04,21.51,30
30,25.211348,31,12.895,25.79,31
31,17.711905,32,25.79,25.79,32
32,17.782822,33,51.58,25.79,33
33,18.936747,34,77.37,25.79,34
34,23.616346,35,103.16,25.79,35
35,25.670116,36,15.03,30.06,36
36,17.571613,37,30.06,30.06,37
37,18.073572,38,60.12,30.06,38
38,19.743355,39,90.17999999999999,30.06,39
39,26.151024,40,120.24,30.06,40
40,26.372974,41,17.17,34.34,41
41,17.742756,42,34.34,34.34,42
42,18.663784,43,68.68,34.34,43
43,20.757788,44,103.02000000000001,34.34,44
44,28.65138,45,137.36,34.34,45
45,27.31459,46,19.31,38.62,46
46,18.122166,47,38.62,38.62,47
47,19.364447,48,77.24,38.62,48
48,21.933638,49,115.85999999999999,38.62,49
49,30.983315,50,154.48,38.62,50
50,28.426075,51,21.445,42.89,51
51,18.652338,52,42.89,42.89,52
52,20.192743,53,85.78,42.89,53
53,23.180943,54,128.67000000000002,42.89,54
54,33.198093,55,171.56,42.89,55
55,29.554394,56,23.585,47.17,56
56,19.28806,57,47.17,47.17,57
57,21.162302,58,94.34,47.17,58
58,24.431301,59,141.51,47.17,59
59,35.431107,60,188.68,47.17,60
60,30.74206,61,25.725,51.45,61
61,19.94058,62,51.45,51.45,62
62,22.217482,63,102.9,51.45,63
63,25.532286,64,154.35000000000002,51.45,64
64,37.658047,65,205.8,51.45,65
65,32.0021,66,27.86,55.72,66
66,20.648783,67,55.72,55.72,67
67,23.319044,68,111.44,55.72,68
68,26.603462,69,167.16,55.72,69
69,39.89836,70,222.88,55.72,70
70,33.301327,71,30.0,60.0,71
71,21.4358,72,60.0,60.0,72
72,24.429197,73,120.0,60.0,73
73,27.677477,74,180.0,60.0,74
74,42.21262,75,240.0,60.0,75
