,Total_Rev_Predicted,Revenue: Hydro Only,group,E,Cap,Net_rev_ES,5-yr ROI%,Pay back period
0,2212700.12,2219061.371860172,1,0.06,0.12,-6361.251860172022,-38.58155682288425,-11.97759704203231
1,2213065.12,2219061.371860172,2,0.12,0.12,-5996.251860172022,-29.06635497022836,-18.814858000946
2,2213430.12,2219061.371860172,3,0.24,0.12,-5631.251860172022,-23.328205290209123,-37.3619880691927
3,2213795.12,2219061.371860172,4,0.36,0.12,-5266.251860172022,-21.16842601818949,-71.10057888418996
4,2214160.12,2219061.371860172,5,0.48,0.12,-4901.251860172022,-20.029737256788383,-152.79928616478344
5,2175723.38,2219061.371860172,6,0.415,0.83,-43337.991860172246,-37.875843801583734,-12.256360124183631
6,2176088.38,2219061.371860172,7,0.83,0.83,-42972.991860172246,-29.27143057389508,-18.263271910888207
7,2176453.38,2219061.371860172,8,1.66,0.83,-42607.991860172246,-23.941382634643293,-33.10872840919855
8,2176818.38,2219061.371860172,9,2.4899999999999998,0.83,-42242.991860172246,-21.85169810654457,-55.193209983038884
9,2177183.38,2219061.371860172,10,3.32,0.83,-41877.991860172246,-20.71861137758571,-91.95966811608099
10,2135107.2,2219061.371860172,11,0.77,1.54,-83954.17186017195,-38.748068233739616,-11.742207662032968
11,2135472.2,2219061.371860172,12,1.54,1.54,-83589.17186017195,-29.833038285371774,-17.36026779152271
12,2135837.2,2219061.371860172,13,3.08,1.54,-83224.17186017195,-24.278537414259596,-31.03707849761274
13,2136202.2,2219061.371860172,14,4.62,1.54,-82859.17186017195,-22.105833120124828,-50.66557017072916
14,2136567.2,2219061.371860172,15,6.16,1.54,-82494.17186017195,-20.93036852150982,-81.56855217033838
15,2100153.57,2219061.371860172,16,1.12,2.24,-118907.8018601723,-38.49905921485314,-11.987054200708162
16,2100518.57,2219061.371860172,17,2.24,2.24,-118542.8018601723,-29.689266652562882,-17.72375082948762
17,2100883.57,2219061.371860172,18,4.48,2.24,-118177.8018601723,-24.14384050172547,-31.92086072977688
18,2101248.57,2219061.371860172,19,6.720000000000001,2.24,-117812.8018601723,-22.032455799320832,-52.239952195397606
19,2101613.57,2219061.371860172,20,8.96,2.24,-117447.8018601723,-20.88847630616628,-84.51660575391597
20,2088196.45,2219061.371860172,21,1.475,2.95,-130864.92186017218,-35.30809201225922,-14.271334850441725
21,2088561.45,2219061.371860172,22,2.95,2.95,-130499.92186017218,-27.775028199434008,-21.450879172861246
22,2088926.45,2219061.371860172,23,5.9,2.95,-130134.92186017218,-23.078769637587786,-40.12585459384833
23,2089291.45,2219061.371860172,24,8.850000000000001,2.95,-129769.92186017218,-21.30343354974859,-69.41631737860253
24,2089656.45,2219061.371860172,25,11.8,2.95,-129404.92186017218,-20.327055788091382,-124.03944071465781
25,2097881.7,2219061.371860172,26,1.825,3.65,-121179.67186017195,-31.266738415289026,-18.84662690481302
26,2098246.7,2219061.371860172,27,3.65,3.65,-120814.67186017195,-25.404569470931346,-29.202803098779903
27,2098611.7,2219061.371860172,28,7.3,3.65,-120449.67186017195,-21.76869737588228,-59.39098208735407
28,2098976.7,2219061.371860172,29,10.95,3.65,-120084.67186017195,-20.370905485096024,-120.10153594756147
29,2099341.7,2219061.371860172,30,14.6,3.65,-119719.67186017195,-19.60191066341038,-312.0885633776254
30,2147441.27,2219061.371860172,31,2.18,4.36,-71620.10186017212,-25.372610827804756,-35.98848841713102
31,2147806.27,2219061.371860172,32,4.36,4.36,-71255.10186017212,-21.974706949593273,-62.90618531539514
32,2148171.27,2219061.371860172,33,8.72,4.36,-70890.10186017212,-19.82322572422707,-212.47005697897401
33,2148536.27,2219061.371860172,34,13.080000000000002,4.36,-70525.10186017212,-18.99354396752574,1282.1805304301952
34,2148901.27,2219061.371860172,35,17.44,4.36,-70160.10186017212,-18.555876493914415,247.1032647965925
35,2192008.37,2219061.371860172,36,2.53,5.06,-27053.001860172022,-21.510080848570972,-89.84922385597633
36,2192373.37,2219061.371860172,37,5.06,5.06,-26688.001860172022,-19.697593913038734,-269.02985340408895
37,2192738.37,2219061.371860172,38,10.12,5.06,-26323.001860172022,-18.522987466230482,298.6486562847656
38,2193103.37,2219061.371860172,39,15.18,5.06,-25958.001860172022,-18.08258457443046,147.10532856539695
39,2193468.37,2219061.371860172,40,20.24,5.06,-25593.001860172022,-17.86962017419827,112.99281395356526
40,2291962.9,2219061.371860172,41,2.885,5.77,72901.52813982777,-15.17133135209938,62.40926445777585
41,2292327.9,2219061.371860172,42,5.77,5.77,73266.52813982777,-15.900861787738005,61.46185584982662
42,2292692.9,2219061.371860172,43,11.54,5.77,73631.52813982777,-16.397038573749214,60.73805698835537
43,2293057.9,2219061.371860172,44,17.31,5.77,73996.52813982777,-16.600344951101356,60.302624037532915
44,2293422.9,2219061.371860172,45,23.08,5.77,74361.52813982777,-16.727884087409855,59.908445236012824
45,2361839.7600000002,2219061.371860172,46,3.235,6.47,142778.3881398281,-11.817562410479393,32.97660201821081
46,2362204.7600000002,2219061.371860172,47,6.47,6.47,143143.3881398281,-13.89102782994609,37.32399393861052
47,2362569.7600000002,2219061.371860172,48,12.94,6.47,143508.3881398281,-15.279741471794535,42.83933527873619
48,2362934.7600000002,2219061.371860172,49,19.41,6.47,143873.3881398281,-15.822148841330442,46.06405930069452
49,2363299.7600000002,2219061.371860172,50,25.88,6.47,144238.3881398281,-16.124551260397187,48.09811617535947
50,2458874.51,2219061.371860172,51,3.59,7.18,239813.13813982764,-7.771587979282496,21.04155255163285
51,2459239.51,2219061.371860172,52,7.18,7.18,240178.13813982764,-11.471718485015872,25.359846615338753
52,2459604.51,2219061.371860172,53,14.36,7.18,240543.13813982764,-13.937142749660175,31.63587004907336
53,2459969.51,2219061.371860172,54,21.54,7.18,240908.13813982764,-14.88799667538886,35.87744235982398
54,2460334.51,2219061.371860172,55,28.72,7.18,241273.13813982764,-15.401046009012555,38.904850655994295
55,2562953.14,2219061.371860172,56,3.94,7.88,343891.768139828,-4.1123450710194565,15.855553242573551
56,2563318.14,2219061.371860172,57,7.88,7.88,344256.768139828,-9.28570670801804,19.66486756260735
57,2563683.14,2219061.371860172,58,15.76,7.88,344621.768139828,-12.723807402119473,25.58716719344639
58,2564048.14,2219061.371860172,59,23.64,7.88,344986.768139828,-14.043825338967398,29.8991977612328
59,2564413.14,2219061.371860172,60,31.52,7.88,345351.768139828,-14.749971386800643,33.18335385895637
60,2656218.3,2219061.371860172,61,4.295,8.59,437156.9281398277,-1.522669237983635,13.500530144419558
61,2656583.3,2219061.371860172,62,8.59,8.59,437521.9281398277,-7.7347529003451685,16.96350467955461
62,2656948.3,2219061.371860172,63,17.18,8.59,437886.9281398277,-11.86379706696686,22.53186926461734
63,2657313.3,2219061.371860172,64,25.77,8.59,438251.9281398277,-13.446060679947978,26.741661445339883
64,2657678.3,2219061.371860172,65,34.36,8.59,438616.9281398277,-14.290537478307494,30.0584174297006
65,2766745.44,2219061.371860172,66,4.645,9.29,547684.0681398278,1.3560373789756774,11.587075519498061
66,2767110.44,2219061.371860172,67,9.29,9.29,548049.0681398278,-6.003344362172689,14.710500438387916
67,2767475.44,2219061.371860172,68,18.58,9.29,548414.0681398278,-10.904739772418479,19.884274486055315
68,2767840.44,2219061.371860172,69,27.869999999999997,9.29,548779.0681398278,-12.780348248023587,23.926748285126056
