,Total_Rev_Predicted,Revenue: Hydro Only,group,E,Cap,Net_rev_ES,5-yr ROI%,Pay back period
0,8869884.25,8876245.487478148,1,0.06,0.12,-6361.237478148192,-38.58151409121628,-11.977623110938103
1,8870249.25,8876245.487478148,2,0.12,0.12,-5996.237478148192,-29.066329575199017,-18.814905107813043
2,8870614.25,8876245.487478148,3,0.24,0.12,-5631.237478148192,-23.328191184577445,-37.36210945558452
3,8870979.25,8876245.487478148,4,0.36,0.12,-5266.237478148192,-21.168416378065803,-71.10090439725036
4,8871344.25,8876245.487478148,5,0.48,0.12,-4901.237478148192,-20.029729772169354,-152.80049060782443
5,8622279.75,8876245.487478148,6,2.2,4.4,-253965.7374781482,-39.7855596185581,-11.130561139484756
6,8622644.75,8876245.487478148,7,4.4,4.4,-253600.7374781482,-30.560986639525993,-16.295630583402666
7,8623009.75,8876245.487478148,8,8.8,4.4,-253235.7374781482,-24.642782228908697,-28.863922590356164
8,8623374.75,8876245.487478148,9,13.200000000000001,4.4,-252870.7374781482,-22.356822807543153,-46.287339849656576
9,8623739.75,8876245.487478148,10,17.6,4.4,-252505.7374781482,-21.144379195027852,-72.17075366573788
10,8382051.39,8876245.487478148,11,4.34,8.68,-494194.0974781485,-39.68658028828906,-11.241672547819809
11,8382416.39,8876245.487478148,12,8.68,8.68,-493829.0974781485,-30.590598020852802,-16.402215666068535
12,8382781.39,8876245.487478148,13,17.36,8.68,-493464.0974781485,-24.573401153577855,-29.265903357883836
13,8383146.39,8876245.487478148,14,26.04,8.68,-493099.0974781485,-22.309415568372017,-47.03145605354911
14,8383511.39,8876245.487478148,15,34.72,8.68,-492734.0974781485,-21.138938068937414,-73.18137572520946
15,8321348.14,8876245.487478148,16,6.48,12.96,-554897.3474781485,-34.615117755362434,-14.814944855440467
16,8321713.14,8876245.487478148,17,12.96,12.96,-554532.3474781485,-27.41731519798343,-22.27183461611549
17,8322078.14,8876245.487478148,18,25.92,12.96,-554167.3474781485,-22.841295111325685,-42.10448323925355
18,8322443.14,8876245.487478148,19,38.88,12.96,-553802.3474781485,-21.159297523422264,-73.36306032057465
19,8322808.14,8876245.487478148,20,51.84,12.96,-553437.3474781485,-20.266355170203113,-131.9078330163278
20,8566062.82,8876245.487478148,21,8.615,17.23,-310182.6674781479,-25.767773340755813,-33.41348161728667
21,8566427.82,8876245.487478148,22,17.23,17.23,-309817.6674781479,-22.131399595212017,-57.56509589994615
22,8566792.82,8876245.487478148,23,34.46,17.23,-309452.6674781479,-19.89072538226439,-174.70233929067675
23,8567157.82,8876245.487478148,24,51.69,17.23,-309087.6674781479,-19.100978984879955,-7636.949011786086
24,8567522.82,8876245.487478148,25,68.92,17.23,-308722.6674781479,-18.68824099531055,309.0313722191414
