,Total_Rev_Predicted,Revenue: Hydro Only,group,E,Cap,Net_rev_ES,5-yr ROI%,Pay back period
0,2212700.12,2219061.371860172,1,0.06,0.12,-6361.251860172022,-38.58155682288425,-11.97759704203231
1,2213065.12,2219061.371860172,2,0.12,0.12,-5996.251860172022,-29.066354794007147,-18.814858139840066
2,2213430.12,2219061.371860172,3,0.24,0.12,-5631.251860172022,-23.328205170571554,-37.36198848312247
3,2213795.12,2219061.371860172,4,0.36,0.12,-5266.251860172022,-21.168426113306463,-71.10057779574369
4,2214160.12,2219061.371860172,5,0.48,0.12,-4901.251860172022,-20.029737256788383,-152.79928616478344
5,2131126.33,2219061.371860172,6,2.2,4.4,-87935.04186017206,-26.62480962183805,-30.164907180042555
6,2131491.33,2219061.371860172,7,4.4,4.4,-87570.04186017206,-22.72653878071138,-50.401233676393005
7,2131856.33,2219061.371860172,8,8.8,4.4,-87205.04186017206,-20.245334499176753,-136.91074347276222
8,2132221.33,2219061.371860172,9,13.200000000000001,4.4,-86840.04186017206,-19.28781480112818,-861.5347266270103
9,2132586.33,2219061.371860172,10,17.6,4.4,-86475.04186017206,-18.78328026707938,400.85718948864763
10,2647492.09,2219061.371860172,11,4.34,8.68,428430.7181398277,-2.069732375194655,13.938047620311448
11,2647857.09,2219061.371860172,12,8.68,8.68,428795.7181398277,-8.06171478157117,17.469812032939203
12,2648222.09,2219061.371860172,13,17.36,8.68,429160.7181398277,-12.04555603204984,23.114361740184854
13,2648587.09,2219061.371860172,14,26.04,8.68,429525.7181398277,-13.572715892147803,27.352629376420346
14,2648952.09,2219061.371860172,15,34.72,8.68,429890.7181398277,-14.387876117455976,30.67619281134373
15,3368631.83,2219061.371860172,16,6.48,12.96,1149570.458139828,11.9201230473377,7.615025058885567
16,3368996.83,2219061.371860172,17,12.96,12.96,1149935.458139828,0.47267853158272394,9.846598176469533
17,3369361.83,2219061.371860172,18,25.92,12.96,1150300.458139828,-7.327288552626785,13.83465760576687
18,3369726.83,2219061.371860172,19,38.88,12.96,1150665.458139828,-10.31213795677757,17.211426473476376
19,3370091.83,2219061.371860172,20,51.84,12.96,1151030.458139828,-11.911434165137095,20.197252894511106
20,4478560.93,2219061.371860172,21,8.615,17.23,2259499.5581398276,27.020722405554466,5.112377819761808
21,4478925.93,2219061.371860172,22,17.23,17.23,2259864.5581398276,9.797070382897543,6.6815934309390945
22,4479290.93,2219061.371860172,23,34.46,17.23,2260229.5581398276,-2.193863313350249,9.642008694809387
23,4479655.93,2219061.371860172,24,51.69,17.23,2260594.5581398276,-6.798212990102256,12.306019880443074
24,4480020.93,2219061.371860172,25,68.92,17.23,2260959.5581398276,-9.286880086568567,14.815567740763706
25,5508198.26,2219061.371860172,26,10.755,21.51,3289136.8881398276,34.84576473160176,4.371871963343558
26,5508563.26,2219061.371860172,27,21.51,21.51,3289501.8881398276,14.689921283134762,5.72562227617776
27,5508928.26,2219061.371860172,28,43.02,21.51,3289866.8881398276,0.43190121948789856,8.348292213074908
28,5509293.26,2219061.371860172,29,64.53,21.51,3290231.8881398276,-5.020781483697312,10.753442295185062
29,5509658.26,2219061.371860172,30,86.04,21.51,3290596.8881398276,-8.005220096876831,13.10670564974099
30,6607928.6,2219061.371860172,31,12.895,25.79,4388867.228139827,40.96782940238786,3.9239096175728814
31,6608293.6,2219061.371860172,32,25.79,25.79,4389232.228139827,18.559659292594848,5.143292633498153
32,6608658.6,2219061.371860172,33,51.58,25.79,4389597.228139827,2.5235561414328322,7.543160869635662
33,6609023.6,2219061.371860172,34,77.37,25.79,4389962.228139827,-3.639045637486645,9.789780492435858
