,Storage Discharge Energy to Grid (MWh),Storage RegUp (MWh),Storage RegDn (MWh),Storage Spin (MWh),LOSS (%),group,Day
0,12.91042,44.205475,41.80409,0.0,0.06530391,1,1/1/2019
1,6.5529065,44.799835,40.918194,5.4487653,0.088868454,1,1/10/2019
2,13.5112505,16.830442,17.56993,0.0,0.06295564,1,1/11/2019
3,5.0205426,0.0,0.0,0.0,0.07142191,1,1/12/2019
4,13.534307,35.54254,35.586834,4.1262174,0.07187294,1,1/13/2019
5,20.60947,78.01132,87.28755,0.0,0.10026131,1,1/14/2019
6,7.4281354,79.79895,91.678024,23.782284,0.060321745,1,1/15/2019
7,7.6804547,0.0,1.7603886,5.0339475,0.075073086,1,1/16/2019
8,0.0,0.0,0.0,0.0,0.1037778,1,1/17/2019
9,0.0,17.329771,47.369,5.390675,0.083997026,1,1/18/2019
10,10.531392,0.0,11.252973,17.167774,0.072183736,1,1/19/2019
11,10.195134,30.155058,33.97642,0.0,0.076593444,1,1/2/2019
12,8.718495,11.145537,12.69621,0.0,0.05729931,1,1/20/2019
13,15.798299,13.567046,3.29997,0.0,0.06113524,1,1/21/2019
14,0.0,0.0,0.0,0.0,0.058725383,1,1/22/2019
15,0.1548659,0.0,86.822464,0.0,0.07389495,1,1/23/2019
16,17.1908,37.73709,23.984236,0.0,0.09345461,1,1/24/2019
17,19.682758,30.093596,25.919844,10.801541,0.057870016,1,1/25/2019
18,9.634786,0.0,30.471571,10.609616,0.060670853,1,1/26/2019
19,25.185429,33.48532,46.614544,6.5323453,0.05860665,1,1/27/2019
20,0.0,0.0,0.0,0.0,0.06516003,1,1/28/2019
21,25.707813,48.969757,14.191724,0.0,0.0496706,1,1/29/2019
22,0.4966933,9.073943,19.790205,4.25018,0.090002924,1,1/3/2019
23,9.525197,44.597412,30.429182,0.0,0.07591403,1,1/30/2019
24,11.680135,26.141996,14.844678,0.0,0.05104456,1,1/31/2019
25,15.867375,107.84262,84.20418,2.7644165,0.095257334,1,1/4/2019
26,14.707112,84.842255,87.469955,18.876942,0.07096108,1,1/5/2019
27,5.002293,16.385984,23.0894,2.0820434,0.07561639,1,1/6/2019
28,6.51096,2.8598926,6.3169684,0.0,0.06077233,1,1/7/2019
29,12.905904,75.55234,68.85979,1.4706695,0.0949195,1,1/8/2019
30,5.013661,44.50833,40.69212,1.2160919,0.08787667,1,1/9/2019
31,8.143086,28.398954,20.631697,0.0,0.04346432,1,10/1/2019
32,16.395329,78.28616,63.503124,0.0,0.068678446,1,10/10/2019
33,15.566243,26.407042,0.0,0.0,0.060153797,1,10/11/2019
34,13.214177,36.16571,19.02403,0.0,0.048348162,1,10/12/2019
35,4.534184,6.6505423,13.813672,0.0,0.07949977,1,10/13/2019
36,0.63966817,28.535429,21.901533,3.1962707,0.081459925,1,10/14/2019
37,10.925893,32.214233,20.81816,0.0,0.04826135,1,10/15/2019
38,11.667378,40.85132,34.88789,0.0,0.06804116,1,10/16/2019
39,7.843846,0.0,0.0,0.29282826,0.067519456,1,10/17/2019
40,13.89774,31.05261,16.817213,0.0,0.052464664,1,10/18/2019
41,11.69605,54.132965,36.64265,0.0,0.07055134,1,10/19/2019
42,11.521916,49.01465,40.98335,0.0,0.06289461,1,10/2/2019
43,12.13477,40.235565,25.900496,0.0,0.06722275,1,10/20/2019
44,14.69254,50.1633,26.251387,0.0,0.066780984,1,10/21/2019
45,17.465824,60.82132,32.845623,0.0,0.07116171,1,10/22/2019
46,13.767156,39.075317,21.422987,0.0,0.06746068,1,10/23/2019
47,0.0,8.52658,20.195875,0.0,0.09253358,1,10/24/2019
48,21.275105,72.63699,0.57484174,0.0,0.06340395,1,10/25/2019
49,7.4885907,21.650846,12.737134,0.0,0.06362695,1,10/26/2019
50,13.873143,36.325592,12.475476,0.0,0.050044432,1,10/27/2019
51,10.096868,24.080748,14.613599,0.0,0.06132752,1,10/28/2019
52,6.7196393,31.515196,26.92793,0.0,0.04547341,1,10/29/2019
53,16.756489,28.800077,26.991072,2.8326538,0.05445257,1,10/3/2019
54,0.0,0.0,0.0,5.646191,0.07221986,1,10/30/2019
55,10.62325,88.03943,93.675674,0.0,0.071784355,1,10/31/2019
56,8.968968,4.9110403,2.5904973,0.0,0.051761284,1,10/4/2019
57,9.767598,9.113799,18.287,0.0,0.055373434,1,10/5/2019
58,6.0298657,31.396147,29.894514,0.0,0.04445306,1,10/6/2019
59,3.378163,14.5624075,16.813429,0.0,0.060240954,1,10/7/2019
60,6.560536,48.938477,49.618725,11.627332,0.08272362,1,10/8/2019
61,15.630605,46.193237,17.887373,0.0,0.0739729,1,10/9/2019
62,2.439717,6.038787,7.0081306,4.6968656,0.059770282,1,11/1/2019
63,26.168201,66.62814,2.324567,0.0,0.043169264,1,11/10/2019
64,5.017735,25.742674,10.887708,2.9373748,0.0833889,1,11/11/2019
65,7.679539,13.5068655,0.0,0.0,0.06987792,1,11/12/2019
66,19.895237,28.138243,15.992719,0.0,0.052907106,1,11/13/2019
67,18.603382,66.68997,28.134565,0.0,0.077407144,1,11/14/2019
68,22.755466,103.69183,54.186687,0.0,0.08442217,1,11/15/2019
69,28.115543,143.2698,106.96217,1.5383728,0.059787937,1,11/16/2019
70,15.916554,93.811035,86.3286,0.0,0.0840703,1,11/17/2019
71,12.815038,20.553099,0.0,0.0,0.05228121,1,11/18/2019
72,14.712239,42.125732,25.693098,0.0,0.059327863,1,11/19/2019
73,27.03104,42.779663,56.868206,0.0,0.07123052,1,11/2/2019
74,9.308888,97.80078,73.67027,0.0,0.0821797,1,11/20/2019
75,26.900211,32.839783,18.714125,0.0,0.077409305,1,11/21/2019
76,10.766942,42.113953,24.55696,0.0,0.07476758,1,11/22/2019
77,10.76743,0.0,25.856245,0.0,0.08296308,1,11/23/2019
78,9.275319,16.459867,21.2386,0.0,0.049130183,1,11/24/2019
79,11.552342,39.13315,22.942335,0.0,0.054449137,1,11/25/2019
80,16.261448,47.14981,15.526135,0.0,0.05742189,1,11/26/2019
81,14.064107,45.17395,48.09535,0.0,0.05925697,1,11/27/2019
82,26.203266,44.350952,80.69148,0.0,0.039587535,1,11/28/2019
83,7.3174024,32.268127,15.092267,0.0,0.04667384,1,11/29/2019
84,24.57874,41.15329,1.4383671,0.0,0.056353997,1,11/3/2019
85,25.53661,71.64346,47.767803,0.0,0.08644919,1,11/30/2019
86,11.839208,23.578733,19.699263,0.36282033,0.043060005,1,11/4/2019
87,44.0741,94.385956,28.506666,0.0,0.04400837,1,11/5/2019
88,7.0723615,25.814146,2.894025,0.0,0.08556721,1,11/6/2019
89,9.906697,75.019775,47.16862,0.0,0.106729396,1,11/7/2019
90,8.479924,16.485167,12.157971,0.0,0.04860657,1,11/8/2019
91,9.856267,1.4670703,2.2490666,0.0,0.055225674,1,11/9/2019
92,12.207112,33.65811,23.311476,0.0,0.05769622,1,12/1/2019
93,15.845738,49.264435,18.465834,0.0,0.0733236,1,12/10/2019
94,6.1340375,20.563902,19.38719,0.0,0.06420918,1,12/11/2019
95,10.15537,56.33249,38.48643,0.0,0.088317685,1,12/12/2019
96,10.488103,75.4816,66.78676,11.053479,0.086010285,1,12/13/2019
97,9.537633,33.309265,16.554518,0.0,0.044182446,1,12/14/2019
98,19.413181,42.316498,17.49037,0.0,0.06626681,1,12/15/2019
99,17.802998,45.564087,26.412153,0.0,0.051225852,1,12/16/2019
100,21.114307,64.45239,60.569256,0.0,0.07256835,1,12/17/2019
101,14.215337,46.926178,30.772718,0.0,0.053525787,1,12/18/2019
102,10.120748,38.737885,14.666394,0.0,0.09083824,1,12/19/2019
103,7.6059613,19.811522,24.861067,0.0,0.061772678,1,12/2/2019
104,1.94756,28.347593,20.45445,0.0,0.09547971,1,12/20/2019
105,2.5952346,49.206635,37.22224,0.0,0.0919591,1,12/21/2019
106,14.836186,43.942413,15.8630495,0.0,0.07747252,1,12/22/2019
107,12.399602,52.40387,37.102947,1.1368225,0.045964073,1,12/23/2019
108,13.867665,35.304535,30.523603,0.0,0.058102656,1,12/24/2019
109,13.088918,28.170134,18.51747,0.0,0.07150761,1,12/25/2019
110,19.423313,23.698362,8.490949,0.0,0.03722345,1,12/26/2019
111,17.877567,115.60336,58.47871,1.7577941,0.098149806,1,12/27/2019
112,6.0286145,63.276794,53.71287,0.0,0.09272952,1,12/28/2019
113,11.091252,26.92349,0.61042523,0.0,0.08083363,1,12/29/2019
114,6.562657,29.120024,28.959852,0.0,0.052682295,1,12/3/2019
115,17.29514,39.179626,22.839735,0.0,0.06485992,1,12/30/2019
116,3.266011,15.658874,25.94322,8.715604,0.09047667,1,12/31/2019
117,28.483631,31.683622,19.28813,0.0,0.041167006,1,12/4/2019
118,17.906498,29.01312,9.2086,0.0,0.0516052,1,12/5/2019
119,13.45873,35.73288,23.024244,0.0,0.04722102,1,12/6/2019
120,15.059819,0.0,19.236097,0.0,0.046391338,1,12/7/2019
121,9.951787,20.920897,31.711805,1.2350738,0.050798435,1,12/8/2019
122,13.437245,36.183807,23.556318,0.0,0.07560238,1,12/9/2019
123,6.9320264,41.44757,36.759686,1.4329956,0.04306523,1,2/1/2019
124,10.490224,18.30792,17.148512,2.0332,0.04794642,1,2/10/2019
